,url,contr_num_2021-11-28 23:43:03.291911_2021-12-28 23:43:03.291911_{'min_commits': 3},contr_num_2021-11-28 23:43:03.291911_2021-12-28 23:43:03.291911_{'min_commits': 5},forks count,subscribers count,stargazers_count
100,https://github.com/KChernenko/KotlinAndroidExtensionsInclude,0.0,0.0,0,1,0
101,https://github.com/KChernenko/WhatToWatch,0.0,0.0,0,1,0
102,https://github.com/Nublo/HallScheme,0.0,0.0,19,6,73
103,https://github.com/Nublo/mining-tracker,0.0,0.0,0,1,0
104,https://github.com/ValveSoftware/openvr,0.0,0.0,1164,434,5007
105,https://github.com/imageworks/pystring,0.0,0.0,125,45,700
106,https://github.com/palantir/tslint,0.0,0.0,934,264,5921
107,https://github.com/joule-labs/joule-extension,1.0,1.0,57,20,324
108,https://github.com/GambolingPangolin/lnurl,0.0,0.0,0,2,0
109,https://github.com/googleanalytics/autotrack,0.0,0.0,598,197,4872
110,https://github.com/lukasz-wronski/vscode-ftp-sync,0.0,0.0,85,26,302
111,https://github.com/lukasz-wronski/vscode-ftp-sync,0.0,0.0,85,26,302
112,https://github.com/andrejpavlovic/cef-cmake-externalproject-sample,0.0,0.0,5,0,10
113,https://github.com/andrejpavlovic/sube,0.0,0.0,0,1,0
114,https://github.com/hierynomus/smbj,0.0,0.0,127,35,469
115,https://github.com/nccgroup/log4j-jndi-be-gone,0.0,0.0,10,11,66
116,https://github.com/iovisor/bcc,4.0,3.0,2573,532,13269
117,https://github.com/libbpf/libbpf,4.0,3.0,168,47,672
118,https://github.com/openvswitch/ovs,3.0,2.0,1632,346,2764
